1.446033 0.834868 0.000000
4.338100 0.834868 0.000000
7.230167 0.834868 0.000000
10.122234 0.834868 0.000000
0.000000 3.339471 0.000000
2.892067 3.339471 0.000000
5.784133 3.339471 0.000000
8.676200 3.339471 0.000000
1.446033 5.844074 0.000000
4.338100 5.844074 0.000000
7.230167 5.844074 0.000000
10.122234 5.844074 0.000000
0.000000 8.348678 0.000000
2.892067 8.348678 0.000000
5.784133 8.348678 0.000000
8.676200 8.348678 0.000000
0.000000 1.669736 2.361363
2.892067 1.669736 2.361363
5.784133 1.669736 2.361363
8.676200 1.669736 2.361363
1.446033 4.174339 2.361363
4.338100 4.174339 2.361363
7.230167 4.174339 2.361363
10.122234 4.174339 2.361363
0.000000 6.678942 2.361363
2.892067 6.678942 2.361363
5.784133 6.678942 2.361363
8.676200 6.678942 2.361363
1.446033 9.183545 2.361363
4.338100 9.183545 2.361363
7.230167 9.183545 2.361363
10.122234 9.183545 2.361363
0.000000 0.000000 4.722725
2.892067 0.000000 4.722725
5.784133 0.000000 4.722725
8.676200 0.000000 4.722725
1.446033 2.504603 4.722725
4.338100 2.504603 4.722725
7.230167 2.504603 4.722725
10.122234 2.504603 4.722725
0.000000 5.009207 4.722725
2.892067 5.009207 4.722725
5.784133 5.009207 4.722725
8.676200 5.009207 4.722725
1.446033 7.513810 4.722725
4.338100 7.513810 4.722725
7.230167 7.513810 4.722725
10.122234 7.513810 4.722725
5.784133 5.009207 7.222725
4.681986 4.964358 7.843920
6.904716 4.964358 7.843920
17.809253 12.452947 18.282955
17.765008 13.067341 18.212025
17.412744 12.154431 18.654479
4.221903 5.566813 16.429788
3.739551 5.952326 16.373351
4.133973 4.953835 16.399981
13.000989 25.313049 10.071353
13.102607 24.724586 9.904457
12.422882 25.509219 10.179384
10.897388 10.837199 20.266210
11.220761 11.254856 19.941461
10.849118 10.892981 20.881775
24.934783 11.760303 23.728525
25.110294 11.859662 24.314863
24.378081 11.515082 23.608896
19.544656 21.205975 11.414521
19.180219 21.138010 11.911547
19.517012 20.794848 10.951302
27.035226 11.647346 26.388648
27.288093 11.794579 25.841976
27.385439 11.639609 26.900168
1.827323 29.994908 26.951858
2.346300 29.998125 26.612562
1.274431 29.970347 26.672451
10.418254 13.857437 20.007680
10.592075 14.405025 20.240926
10.547787 13.334570 20.314588
17.015866 18.174067 27.504050
16.844031 17.580058 27.458285
16.696230 18.613156 27.205059
14.674391 24.181214 23.732875
14.650523 23.562593 23.767633
15.222668 24.469128 23.703552
14.714845 6.117217 27.895587
14.558230 6.706470 28.008373
14.329502 5.749272 27.578587
2.447512 16.780964 19.652229
2.138261 17.246726 19.384091
2.167378 16.235749 19.745114
14.939722 29.275348 26.784824
15.433954 28.900952 26.779251
14.368580 29.034589 26.798748
22.922713 14.435934 21.797522
22.780008 14.728527 22.325246
23.417546 14.063191 21.773764
15.278861 14.287063 21.348681
14.695147 14.455983 21.472022
15.415520 13.689603 21.255259
5.320152 4.971274 21.642618
5.257809 5.554903 21.442718
4.984805 4.517885 21.385047
10.815614 1.288829 14.325259
10.938423 0.779677 13.993368
10.746649 1.835258 14.040617
10.812875 5.970974 17.163969
10.511709 5.913643 17.702932
11.286865 5.593753 17.032063
1.580785 15.098189 23.737705
2.098864 15.216255 23.418137
1.146754 15.536814 23.797598
8.706957 19.982982 19.345933
8.099263 20.098955 19.304364
8.913023 19.398568 19.327017
0.881206 18.819573 9.098012
0.267786 18.729142 9.100628
1.266046 18.336083 9.147990
2.591261 20.388580 28.567981
2.064943 20.144115 28.786374
3.095814 20.033611 28.506453
2.490332 9.913226 17.847629
2.564047 9.497718 18.301928
1.927041 10.016005 17.609930
22.547227 17.549269 9.713514
23.166785 17.525272 9.707118
22.257988 18.097229 9.692505
9.262188 25.963757 25.720478
9.882078 25.953589 25.710362
8.943407 25.432026 25.721728
22.998734 21.290074 19.392798
23.617582 21.327603 19.402138
22.721613 20.735572 19.402467
17.962449 23.109224 12.406534
17.385300 23.231881 12.215947
18.373629 23.569386 12.466063
1.188566 22.756336 16.815878
1.037716 23.352351 16.735391
1.784575 22.589644 16.852606
11.972877 22.312257 10.868989
12.134087 22.905082 10.785095
12.396040 21.863799 10.804333
20.113311 12.784859 19.596147
20.451010 13.302768 19.549263
20.389224 12.230723 19.561987
27.241882 9.359939 9.301412
27.439063 8.897097 9.663856
26.804350 9.254864 8.874930
18.656700 6.331626 18.494661
18.614543 6.513997 19.085789
18.168469 6.389151 18.116928
29.385075 27.002054 20.892794
29.912969 27.112413 21.198764
29.093390 27.464762 20.600934
8.660942 14.466063 29.476232
8.914813 15.006413 29.308781
8.945063 14.106158 29.893491
6.773674 5.525804 27.987961
7.149600 5.046602 27.871715
6.162077 5.467257 27.904995
8.927368 20.718517 12.305608
8.706963 20.148968 12.412866
9.378549 20.948728 12.663100
7.010326 13.226889 12.137735
6.759298 12.672631 12.257119
6.742003 13.741948 12.354711
18.629726 21.868424 29.495720
19.070115 22.304910 29.493269
18.604157 21.456449 29.958305
7.427224 9.161894 20.088295
7.675069 9.715781 19.960811
6.858286 9.022676 19.885099
29.546463 21.716157 17.601137
28.954051 21.894922 17.561647
29.994209 22.139625 17.668665
9.153185 16.863465 21.912372
9.605317 16.443810 21.975103
8.560682 16.692797 21.976983
0.501532 3.996196 17.697421
0.923233 4.450435 17.679966
0.601428 3.468402 17.387879
24.382587 21.131019 26.617269
24.804940 20.681566 26.681135
24.448932 21.664828 26.925502
26.328817 19.876443 19.186904
25.734569 19.884307 19.363756
26.593862 19.343215 19.014333
15.174745 18.787115 18.635524
15.732677 18.798648 18.365249
14.933762 18.248686 18.826268
9.787780 15.183683 8.903693
9.749739 14.565763 8.938285
9.891740 15.457770 8.357406
19.546809 4.527819 25.668584
19.114607 4.451034 26.106504
20.127122 4.333806 25.768374
13.350814 22.851472 26.950805
13.319737 23.462706 27.050281
13.902087 22.568730 26.928068
8.000496 10.392924 27.088458
7.702995 9.985288 27.448728
7.754129 10.952227 26.984320
23.281315 6.435567 20.391679
23.224973 6.617072 20.981891
23.140173 5.853507 20.231532
27.070155 3.030655 13.103430
27.474530 2.560865 13.119140
26.460998 2.915799 13.113280
2.142013 26.965595 28.373763
2.072743 27.547759 28.575643
2.473296 26.852262 27.862129
20.930543 7.803103 28.456730
20.967300 7.472427 27.933499
21.298113 7.665752 28.936718
22.760299 19.518097 29.149206
22.365216 19.935835 28.917099
22.895390 19.521916 29.754266
19.981123 21.263238 21.551324
19.541543 21.476545 21.169567
20.042901 20.653177 21.642819
6.310267 23.868058 10.820608
5.826423 24.136674 11.100268
6.845380 24.175870 10.763442
11.110342 2.845341 16.659440
11.241557 3.386320 16.932557
11.541626 2.401046 16.628494
1.699929 15.018439 26.535817
1.360023 14.679793 26.928566
2.290137 15.151066 26.671560
17.528485 28.798279 12.776136
17.948684 28.753132 12.322414
17.407007 29.349572 13.032419
3.814077 2.084771 22.456445
4.414890 1.943542 22.516004
3.646338 2.641781 22.242052
3.762369 23.996267 24.447529
3.473194 24.343556 24.872071
